district,latitude,longitude,terrain_risk,rainfall_risk,risk_score
Micro Zone,18.0,76.5,Moderate,High,5
Micro Zone,18.0,77.0,Moderate,Low,3
Micro Zone,18.0,77.5,Low,High,4
Micro Zone,18.0,78.0,Moderate,Moderate,4
Micro Zone,18.0,78.5,High,Moderate,5
Micro Zone,18.0,79.0,Moderate,Low,3
Micro Zone,18.0,79.5,High,Moderate,5
Micro Zone,18.0,80.0,Moderate,High,5
Micro Zone,18.0,80.5,High,Moderate,5
Micro Zone,18.0,81.0,Low,High,4
Micro Zone,18.0,81.5,High,Moderate,5
Micro Zone,18.0,82.0,Low,High,4
Micro Zone,18.0,82.5,Moderate,Moderate,4
Micro Zone,18.0,83.0,Low,Moderate,3
Micro Zone,18.0,83.5,High,Moderate,5
Micro Zone,18.0,84.0,Low,High,4
Micro Zone,18.0,84.5,High,Moderate,5
Micro Zone,18.0,85.0,Moderate,High,5
Micro Zone,18.0,85.5,Low,Moderate,3
Micro Zone,18.0,86.0,High,Moderate,5
Micro Zone,18.0,86.5,Moderate,High,5
Micro Zone,18.0,87.0,Moderate,High,5
Micro Zone,18.0,87.5,High,Low,4
Micro Zone,18.0,88.0,High,High,6
Micro Zone,18.0,88.5,High,Moderate,5
Micro Zone,18.0,89.0,High,High,6
Micro Zone,18.0,89.5,Low,Moderate,3
Micro Zone,18.0,90.0,Low,Low,2
Micro Zone,18.0,90.5,High,Moderate,5
Micro Zone,18.0,91.0,High,Moderate,5
Micro Zone,18.0,91.5,Low,Moderate,3
Micro Zone,18.0,92.0,Moderate,Low,3
Micro Zone,18.0,92.5,Low,Moderate,3
Micro Zone,18.0,93.0,High,Moderate,5
Micro Zone,18.0,93.5,Low,Moderate,3
Micro Zone,18.0,94.0,Moderate,Low,3
Micro Zone,18.0,94.5,Moderate,Moderate,4
Micro Zone,18.0,95.0,Moderate,High,5
Micro Zone,18.0,95.5,High,High,6
Micro Zone,18.0,96.0,High,Moderate,5
Micro Zone,18.0,96.5,Low,High,4
Micro Zone,18.5,68.0,Moderate,Moderate,4
Micro Zone,18.5,68.5,Moderate,High,5
Micro Zone,18.5,69.0,Moderate,Low,3
Micro Zone,18.5,69.5,High,High,6
Micro Zone,18.5,70.0,Low,Low,2
Micro Zone,18.5,70.5,High,Moderate,5
Micro Zone,18.5,71.0,Low,Moderate,3
Micro Zone,18.5,71.5,Moderate,High,5
Micro Zone,18.5,72.0,High,Moderate,5
Micro Zone,18.5,72.5,Low,High,4
Micro Zone,18.5,73.0,High,High,6
Micro Zone,18.5,73.5,Low,Moderate,3
Micro Zone,18.5,74.0,Low,Moderate,3
Micro Zone,18.5,74.5,High,High,6
Micro Zone,18.5,75.0,High,High,6
Micro Zone,18.5,75.5,Low,High,4
Micro Zone,18.5,76.0,High,Low,4
Micro Zone,18.5,76.5,Moderate,High,5
Micro Zone,18.5,77.0,High,Low,4
Micro Zone,18.5,77.5,Low,Moderate,3
Micro Zone,18.5,78.0,Moderate,High,5
Micro Zone,18.5,78.5,High,High,6
Micro Zone,18.5,79.0,High,High,6
Micro Zone,18.5,79.5,High,Low,4
Micro Zone,18.5,80.0,Low,High,4
Micro Zone,18.5,80.5,Moderate,Moderate,4
Micro Zone,18.5,81.0,High,Moderate,5
Micro Zone,18.5,81.5,Low,Low,2
Micro Zone,18.5,82.0,Low,High,4
Micro Zone,18.5,82.5,Low,Low,2
Micro Zone,18.5,83.0,High,Moderate,5
Micro Zone,18.5,83.5,Moderate,Low,3
Micro Zone,18.5,84.0,High,Low,4
Micro Zone,18.5,84.5,Low,Low,2
Micro Zone,18.5,85.0,High,Moderate,5
Micro Zone,18.5,85.5,High,High,6
Micro Zone,18.5,86.0,Low,Moderate,3
Micro Zone,18.5,86.5,Low,Moderate,3
Micro Zone,18.5,87.0,High,Low,4
Micro Zone,18.5,87.5,Low,Low,2
Micro Zone,18.5,88.0,High,Low,4
Micro Zone,18.5,88.5,High,High,6
Micro Zone,18.5,89.0,Moderate,High,5
Micro Zone,18.5,89.5,High,Low,4
Micro Zone,18.5,90.0,Low,Moderate,3
Micro Zone,18.5,90.5,Low,High,4
Micro Zone,18.5,91.0,Low,High,4
Micro Zone,18.5,91.5,High,Moderate,5
Micro Zone,18.5,92.0,Moderate,High,5
Micro Zone,18.5,92.5,Moderate,Low,3
Micro Zone,18.5,93.0,High,Moderate,5
Micro Zone,18.5,93.5,High,Moderate,5
Micro Zone,18.5,94.0,Moderate,High,5
Micro Zone,18.5,94.5,High,High,6
Micro Zone,18.5,95.0,Low,High,4
Micro Zone,18.5,95.5,Moderate,High,5
Micro Zone,18.5,96.0,Low,High,4
Micro Zone,18.5,96.5,High,Moderate,5
Micro Zone,19.0,68.0,Low,High,4
Micro Zone,19.0,68.5,Low,Moderate,3
Micro Zone,19.0,69.0,High,Moderate,5
Micro Zone,19.0,69.5,Low,High,4
Micro Zone,19.0,70.0,Low,Low,2
Micro Zone,19.0,70.5,Low,High,4
Micro Zone,19.0,71.0,Moderate,High,5
Micro Zone,19.0,71.5,Low,Moderate,3
Micro Zone,19.0,72.0,Low,Low,2
Micro Zone,19.0,72.5,Moderate,Moderate,4
Micro Zone,19.0,73.0,Moderate,High,5
Micro Zone,19.0,73.5,High,Low,4
Micro Zone,19.0,74.0,High,Moderate,5
Micro Zone,19.0,74.5,Low,High,4
Micro Zone,19.0,75.0,Moderate,Low,3
Micro Zone,19.0,75.5,High,Moderate,5
Micro Zone,19.0,76.0,Low,High,4
Micro Zone,19.0,76.5,Low,Moderate,3
Micro Zone,19.0,77.0,Moderate,Moderate,4
Micro Zone,19.0,77.5,High,High,6
Micro Zone,19.0,78.0,High,High,6
Micro Zone,19.0,78.5,Moderate,Moderate,4
Micro Zone,19.0,79.0,High,Moderate,5
Micro Zone,19.0,79.5,Low,Moderate,3
Micro Zone,19.0,80.0,Low,Low,2
Micro Zone,19.0,80.5,Low,High,4
Micro Zone,19.0,81.0,Low,Moderate,3
Micro Zone,19.0,81.5,High,Low,4
Micro Zone,19.0,82.0,Low,High,4
Micro Zone,19.0,82.5,Low,Moderate,3
Micro Zone,19.0,83.0,High,Moderate,5
Micro Zone,19.0,83.5,Low,High,4
Micro Zone,19.0,84.0,Low,Moderate,3
Micro Zone,19.0,84.5,High,High,6
Micro Zone,19.0,85.0,Moderate,Moderate,4
Micro Zone,19.0,85.5,Moderate,Moderate,4
Micro Zone,19.0,86.0,Moderate,Low,3
Micro Zone,19.0,86.5,High,High,6
Micro Zone,19.0,87.0,High,Moderate,5
Micro Zone,19.0,87.5,Low,High,4
Micro Zone,19.0,88.0,Low,Moderate,3
Micro Zone,19.0,88.5,High,High,6
Micro Zone,19.0,89.0,Moderate,Moderate,4
Micro Zone,19.0,89.5,Moderate,High,5
Micro Zone,19.0,90.0,Moderate,High,5
Micro Zone,19.0,90.5,Moderate,High,5
Micro Zone,19.0,91.0,High,Moderate,5
Micro Zone,19.0,91.5,Low,Moderate,3
Micro Zone,19.0,92.0,Moderate,Low,3
Micro Zone,19.0,92.5,Low,Moderate,3
Micro Zone,19.0,93.0,Low,Moderate,3
Micro Zone,19.0,93.5,Low,High,4
Micro Zone,19.0,94.0,High,Moderate,5
Micro Zone,19.0,94.5,Low,High,4
Micro Zone,19.0,95.0,Low,Low,2
Micro Zone,19.0,95.5,Low,Moderate,3
Micro Zone,19.0,96.0,Moderate,High,5
Micro Zone,19.0,96.5,Low,Moderate,3
Micro Zone,19.5,68.0,Low,High,4
Micro Zone,19.5,68.5,Low,High,4
Micro Zone,19.5,69.0,High,Moderate,5
Micro Zone,19.5,69.5,Low,Moderate,3
Micro Zone,19.5,70.0,Low,High,4
Micro Zone,19.5,70.5,Low,Moderate,3
Micro Zone,19.5,71.0,Moderate,Moderate,4
Micro Zone,19.5,71.5,Moderate,High,5
Micro Zone,19.5,72.0,Moderate,High,5
Micro Zone,19.5,72.5,Moderate,Moderate,4
Micro Zone,19.5,73.0,High,High,6
Micro Zone,19.5,73.5,Low,Moderate,3
Micro Zone,19.5,74.0,Low,Moderate,3
Micro Zone,19.5,74.5,High,Moderate,5
Micro Zone,19.5,75.0,Low,High,4
Micro Zone,19.5,75.5,Moderate,Low,3
Micro Zone,19.5,76.0,Moderate,Moderate,4
Micro Zone,19.5,76.5,Low,Moderate,3
Micro Zone,19.5,77.0,Moderate,Low,3
Micro Zone,19.5,77.5,Low,High,4
Micro Zone,19.5,78.0,Low,High,4
Micro Zone,19.5,78.5,High,Low,4
Micro Zone,19.5,79.0,Low,Moderate,3
Micro Zone,19.5,79.5,Low,High,4
Micro Zone,19.5,80.0,High,Moderate,5
Micro Zone,19.5,80.5,High,Moderate,5
Micro Zone,19.5,81.0,High,High,6
Micro Zone,19.5,81.5,Low,High,4
Micro Zone,19.5,82.0,Low,High,4
Micro Zone,19.5,82.5,Moderate,High,5
Micro Zone,19.5,83.0,Moderate,Low,3
Micro Zone,19.5,83.5,Moderate,Moderate,4
Micro Zone,19.5,84.0,Low,High,4
Micro Zone,19.5,84.5,Moderate,High,5
Micro Zone,19.5,85.0,Moderate,Moderate,4
Micro Zone,19.5,85.5,Moderate,Moderate,4
Micro Zone,19.5,86.0,High,High,6
Micro Zone,19.5,86.5,Low,High,4
Micro Zone,19.5,87.0,Low,Moderate,3
Micro Zone,19.5,87.5,Moderate,High,5
Micro Zone,19.5,88.0,High,Moderate,5
Micro Zone,19.5,88.5,High,Low,4
Micro Zone,19.5,89.0,Moderate,Moderate,4
Micro Zone,19.5,89.5,Low,Moderate,3
Micro Zone,19.5,90.0,Low,Low,2
Micro Zone,19.5,90.5,Low,Moderate,3
Micro Zone,19.5,91.0,Low,Moderate,3
Micro Zone,19.5,91.5,Low,High,4
Micro Zone,19.5,92.0,High,High,6
Micro Zone,19.5,92.5,Low,High,4
Micro Zone,19.5,93.0,Low,High,4
Micro Zone,19.5,93.5,Moderate,High,5
Micro Zone,19.5,94.0,High,Moderate,5
Micro Zone,19.5,94.5,Moderate,High,5
Micro Zone,19.5,95.0,Moderate,Moderate,4
Micro Zone,19.5,95.5,High,Low,4
Micro Zone,19.5,96.0,High,Moderate,5
Micro Zone,19.5,96.5,High,Moderate,5
Micro Zone,20.0,68.0,Moderate,High,5
Micro Zone,20.0,68.5,High,Low,4
Micro Zone,20.0,69.0,High,Moderate,5
Micro Zone,20.0,69.5,High,High,6
Micro Zone,20.0,70.0,Low,Low,2
Micro Zone,20.0,70.5,High,High,6
Micro Zone,20.0,71.0,Moderate,High,5
Micro Zone,20.0,71.5,Low,Moderate,3
Micro Zone,20.0,72.0,High,High,6
Micro Zone,20.0,72.5,Low,High,4
Micro Zone,20.0,73.0,High,Low,4
Micro Zone,20.0,73.5,Low,Moderate,3
Micro Zone,20.0,74.0,High,Moderate,5
Micro Zone,20.0,74.5,Moderate,Moderate,4
Micro Zone,20.0,75.0,Moderate,High,5
Micro Zone,20.0,75.5,Low,Moderate,3
Micro Zone,20.0,76.0,Low,Low,2
Micro Zone,20.0,76.5,Low,High,4
Micro Zone,20.0,77.0,Moderate,Moderate,4
Micro Zone,20.0,77.5,High,Low,4
Micro Zone,20.0,78.0,High,Low,4
Micro Zone,20.0,78.5,Moderate,High,5
Micro Zone,20.0,79.0,High,Moderate,5
Micro Zone,20.0,79.5,Low,Moderate,3
Micro Zone,20.0,80.0,Moderate,Moderate,4
Micro Zone,20.0,80.5,Moderate,Low,3
Micro Zone,20.0,81.0,High,High,6
Micro Zone,20.0,81.5,Low,Moderate,3
Micro Zone,20.0,82.0,Moderate,High,5
Micro Zone,20.0,82.5,Moderate,Moderate,4
Micro Zone,20.0,83.0,High,High,6
Micro Zone,20.0,83.5,Low,Moderate,3
Micro Zone,20.0,84.0,High,Low,4
Micro Zone,20.0,84.5,High,Low,4
Micro Zone,20.0,85.0,Low,Moderate,3
Micro Zone,20.0,85.5,High,Moderate,5
Micro Zone,20.0,86.0,Low,Low,2
Micro Zone,20.0,86.5,High,High,6
Micro Zone,20.0,87.0,Low,High,4
Micro Zone,20.0,87.5,Low,High,4
Micro Zone,20.0,88.0,Moderate,High,5
Micro Zone,20.0,88.5,Moderate,Low,3
Micro Zone,20.0,89.0,Moderate,Moderate,4
Micro Zone,20.0,89.5,Low,Moderate,3
Micro Zone,20.0,90.0,Low,High,4
Micro Zone,20.0,90.5,Moderate,High,5
Micro Zone,20.0,91.0,Moderate,High,5
Micro Zone,20.0,91.5,High,Low,4
Micro Zone,20.0,92.0,High,High,6
Micro Zone,20.0,92.5,Moderate,Low,3
Micro Zone,20.0,93.0,High,Moderate,5
Micro Zone,20.0,93.5,Low,High,4
Micro Zone,20.0,94.0,High,High,6
Micro Zone,20.0,94.5,High,High,6
Micro Zone,20.0,95.0,Moderate,Low,3
Micro Zone,20.0,95.5,Low,Low,2
Micro Zone,20.0,96.0,Low,Low,2
Micro Zone,20.0,96.5,Low,High,4
Micro Zone,20.5,68.0,High,High,6
Micro Zone,20.5,68.5,Low,Moderate,3
Micro Zone,20.5,69.0,Low,High,4
Micro Zone,20.5,69.5,Moderate,High,5
Micro Zone,20.5,70.0,Moderate,High,5
Micro Zone,20.5,70.5,Low,High,4
Micro Zone,20.5,71.0,Moderate,Moderate,4
Micro Zone,20.5,71.5,High,Moderate,5
Micro Zone,20.5,72.0,High,High,6
Micro Zone,20.5,72.5,Moderate,High,5
Micro Zone,20.5,73.0,Low,Moderate,3
Micro Zone,20.5,73.5,Moderate,Moderate,4
Micro Zone,20.5,74.0,Moderate,Moderate,4
Micro Zone,20.5,74.5,High,Moderate,5
Micro Zone,20.5,75.0,Moderate,Moderate,4
Micro Zone,20.5,75.5,High,Moderate,5
Micro Zone,20.5,76.0,Moderate,Low,3
Micro Zone,20.5,76.5,Low,Moderate,3
Micro Zone,20.5,77.0,Moderate,Moderate,4
Micro Zone,20.5,77.5,Moderate,High,5
Micro Zone,20.5,78.0,Low,Low,2
Micro Zone,20.5,78.5,Moderate,High,5
Micro Zone,20.5,79.0,Moderate,Low,3
Micro Zone,20.5,79.5,Low,High,4
Micro Zone,20.5,80.0,Low,High,4
Micro Zone,20.5,80.5,High,Moderate,5
Micro Zone,20.5,81.0,Low,Low,2
Micro Zone,20.5,81.5,Low,High,4
Micro Zone,20.5,82.0,Low,Moderate,3
Micro Zone,20.5,82.5,High,Low,4
Micro Zone,20.5,83.0,Low,Low,2
Micro Zone,20.5,83.5,High,Moderate,5
Micro Zone,20.5,84.0,Moderate,High,5
Micro Zone,20.5,84.5,Low,Low,2
Micro Zone,20.5,85.0,Low,High,4
Micro Zone,20.5,85.5,High,High,6
Micro Zone,20.5,86.0,Moderate,Low,3
Micro Zone,20.5,86.5,High,Moderate,5
Micro Zone,20.5,87.0,Low,High,4
Micro Zone,20.5,87.5,Moderate,Moderate,4
Micro Zone,20.5,88.0,Low,Low,2
Micro Zone,20.5,88.5,High,High,6
Micro Zone,20.5,89.0,Low,High,4
Micro Zone,20.5,89.5,Low,Moderate,3
Micro Zone,20.5,90.0,High,Moderate,5
Micro Zone,20.5,90.5,Low,High,4
Micro Zone,20.5,91.0,Low,High,4
Micro Zone,20.5,91.5,Low,High,4
Micro Zone,20.5,92.0,High,Moderate,5
Micro Zone,20.5,92.5,High,Low,4
Micro Zone,20.5,93.0,Low,High,4
Micro Zone,20.5,93.5,Low,Moderate,3
Micro Zone,20.5,94.0,Moderate,Moderate,4
Micro Zone,20.5,94.5,Low,Moderate,3
Micro Zone,20.5,95.0,High,Moderate,5
Micro Zone,20.5,95.5,High,High,6
Micro Zone,20.5,96.0,Low,Moderate,3
Micro Zone,20.5,96.5,High,Moderate,5
Micro Zone,21.0,68.0,Moderate,High,5
Micro Zone,21.0,68.5,Moderate,Moderate,4
Micro Zone,21.0,69.0,High,High,6
Micro Zone,21.0,69.5,Moderate,Moderate,4
Micro Zone,21.0,70.0,Low,Low,2
Micro Zone,21.0,70.5,Low,High,4
Micro Zone,21.0,71.0,Moderate,High,5
Micro Zone,21.0,71.5,Moderate,Low,3
Micro Zone,21.0,72.0,Low,Moderate,3
Micro Zone,21.0,72.5,High,High,6
Micro Zone,21.0,73.0,Moderate,Moderate,4
Micro Zone,21.0,73.5,High,Low,4
Micro Zone,21.0,74.0,Moderate,Moderate,4
Micro Zone,21.0,74.5,High,Moderate,5
Micro Zone,21.0,75.0,Moderate,Low,3
Micro Zone,21.0,75.5,Low,Moderate,3
Micro Zone,21.0,76.0,High,High,6
Micro Zone,21.0,76.5,Low,High,4
Micro Zone,21.0,77.0,Moderate,High,5
Micro Zone,21.0,77.5,High,High,6
Micro Zone,21.0,78.0,High,Low,4
Micro Zone,21.0,78.5,Low,Low,2
Micro Zone,21.0,79.0,Low,High,4
Micro Zone,21.0,79.5,Moderate,Low,3
Micro Zone,21.0,80.0,Moderate,Moderate,4
Micro Zone,21.0,80.5,High,Moderate,5
Micro Zone,21.0,81.0,Low,Low,2
Micro Zone,21.0,81.5,Low,Moderate,3
Micro Zone,21.0,82.0,Moderate,Moderate,4
Micro Zone,21.0,82.5,High,Low,4
Micro Zone,21.0,83.0,High,High,6
Micro Zone,21.0,83.5,Low,Moderate,3
Micro Zone,21.0,84.0,Low,High,4
Micro Zone,21.0,84.5,Moderate,High,5
Micro Zone,21.0,85.0,High,Moderate,5
Micro Zone,21.0,85.5,Low,Moderate,3
Micro Zone,21.0,86.0,Low,Moderate,3
Micro Zone,21.0,86.5,Low,Moderate,3
Micro Zone,21.0,87.0,Low,Moderate,3
Micro Zone,21.0,87.5,Moderate,Low,3
Micro Zone,21.0,88.0,Low,Low,2
Micro Zone,21.0,88.5,Low,Moderate,3
Micro Zone,21.0,89.0,Low,Low,2
Micro Zone,21.0,89.5,High,High,6
Micro Zone,21.0,90.0,High,Low,4
Micro Zone,21.0,90.5,Moderate,Moderate,4
Micro Zone,21.0,91.0,High,High,6
Micro Zone,21.0,91.5,Low,High,4
Micro Zone,21.0,92.0,High,Moderate,5
Micro Zone,21.0,92.5,High,Moderate,5
Micro Zone,21.0,93.0,Moderate,High,5
Micro Zone,21.0,93.5,High,High,6
Micro Zone,21.0,94.0,Moderate,High,5
Micro Zone,21.0,94.5,Low,Moderate,3
Micro Zone,21.0,95.0,Low,Moderate,3
Micro Zone,21.0,95.5,Low,Moderate,3
Micro Zone,21.0,96.0,Low,High,4
Micro Zone,21.0,96.5,Moderate,Moderate,4
Micro Zone,21.5,68.0,Low,Moderate,3
Micro Zone,21.5,68.5,High,Moderate,5
Micro Zone,21.5,69.0,Moderate,Low,3
Micro Zone,21.5,69.5,Moderate,Moderate,4
Micro Zone,21.5,70.0,Low,High,4
Micro Zone,21.5,70.5,Low,Moderate,3
Micro Zone,21.5,71.0,Low,High,4
Micro Zone,21.5,71.5,Moderate,High,5
Micro Zone,21.5,72.0,High,Moderate,5
Micro Zone,21.5,72.5,High,High,6
Micro Zone,21.5,73.0,High,Moderate,5
Micro Zone,21.5,73.5,High,Moderate,5
Micro Zone,21.5,74.0,High,High,6
Micro Zone,21.5,74.5,Moderate,Low,3
Micro Zone,21.5,75.0,High,Moderate,5
Micro Zone,21.5,75.5,Low,Moderate,3
Micro Zone,21.5,76.0,Low,High,4
Micro Zone,21.5,76.5,Moderate,High,5
Micro Zone,21.5,77.0,High,Moderate,5
Micro Zone,21.5,77.5,High,High,6
Micro Zone,21.5,78.0,High,Moderate,5
Micro Zone,21.5,78.5,Moderate,Moderate,4
Micro Zone,21.5,79.0,Low,High,4
Micro Zone,21.5,79.5,Low,High,4
Micro Zone,21.5,80.0,Low,Moderate,3
Micro Zone,21.5,80.5,High,Moderate,5
Micro Zone,21.5,81.0,Moderate,High,5
Micro Zone,21.5,81.5,Moderate,Moderate,4
Micro Zone,21.5,82.0,High,Low,4
Micro Zone,21.5,82.5,High,High,6
Micro Zone,21.5,83.0,Low,High,4
Micro Zone,21.5,83.5,Low,High,4
Micro Zone,21.5,84.0,Low,High,4
Micro Zone,21.5,84.5,Moderate,Moderate,4
Micro Zone,21.5,85.0,Low,Moderate,3
Micro Zone,21.5,85.5,High,Low,4
Micro Zone,21.5,86.0,Low,High,4
Micro Zone,21.5,86.5,Low,Moderate,3
Micro Zone,21.5,87.0,Low,High,4
Micro Zone,21.5,87.5,High,Moderate,5
Micro Zone,21.5,88.0,Moderate,Moderate,4
Micro Zone,21.5,88.5,Moderate,Moderate,4
Micro Zone,21.5,89.0,Low,Moderate,3
Micro Zone,21.5,89.5,Low,Low,2
Micro Zone,21.5,90.0,High,Moderate,5
Micro Zone,21.5,90.5,Low,Moderate,3
Micro Zone,21.5,91.0,High,Moderate,5
Micro Zone,21.5,91.5,Low,High,4
Micro Zone,21.5,92.0,Low,Moderate,3
Micro Zone,21.5,92.5,High,Moderate,5
Micro Zone,21.5,93.0,Low,High,4
Micro Zone,21.5,93.5,High,High,6
Micro Zone,21.5,94.0,Low,High,4
Micro Zone,21.5,94.5,High,Moderate,5
Micro Zone,21.5,95.0,High,Moderate,5
Micro Zone,21.5,95.5,Low,Moderate,3
Micro Zone,21.5,96.0,High,Moderate,5
Micro Zone,21.5,96.5,Low,Moderate,3
Micro Zone,22.0,68.0,Moderate,High,5
Micro Zone,22.0,68.5,Low,High,4
Micro Zone,22.0,69.0,Low,Moderate,3
Micro Zone,22.0,69.5,Moderate,High,5
Micro Zone,22.0,70.0,Low,High,4
Micro Zone,22.0,70.5,Low,High,4
Micro Zone,22.0,71.0,High,Moderate,5
Micro Zone,22.0,71.5,Low,Moderate,3
Micro Zone,22.0,72.0,Low,High,4
Micro Zone,22.0,72.5,Low,Moderate,3
Micro Zone,22.0,73.0,Low,High,4
Micro Zone,22.0,73.5,High,Moderate,5
Micro Zone,22.0,74.0,Low,Low,2
Micro Zone,22.0,74.5,Moderate,Low,3
Micro Zone,22.0,75.0,Low,Low,2
Micro Zone,22.0,75.5,Moderate,High,5
Micro Zone,22.0,76.0,Low,Moderate,3
Micro Zone,22.0,76.5,Moderate,High,5
Micro Zone,22.0,77.0,Moderate,Moderate,4
Micro Zone,22.0,77.5,Moderate,High,5
Micro Zone,22.0,78.0,Moderate,High,5
Micro Zone,22.0,78.5,Low,Moderate,3
Micro Zone,22.0,79.0,Low,Low,2
Micro Zone,22.0,79.5,High,Low,4
Micro Zone,22.0,80.0,Low,Moderate,3
Micro Zone,22.0,80.5,Moderate,Moderate,4
Micro Zone,22.0,81.0,Moderate,High,5
Micro Zone,22.0,81.5,Low,Moderate,3
Micro Zone,22.0,82.0,Low,High,4
Micro Zone,22.0,82.5,Low,Moderate,3
Micro Zone,22.0,83.0,Moderate,Moderate,4
Micro Zone,22.0,83.5,Moderate,High,5
Micro Zone,22.0,84.0,High,Moderate,5
Micro Zone,22.0,84.5,Low,High,4
Micro Zone,22.0,85.0,High,High,6
Micro Zone,22.0,85.5,High,Moderate,5
Micro Zone,22.0,86.0,Low,Low,2
Micro Zone,22.0,86.5,High,High,6
Micro Zone,22.0,87.0,Low,High,4
Micro Zone,22.0,87.5,Low,High,4
Micro Zone,22.0,88.0,Low,High,4
Micro Zone,22.0,88.5,Moderate,Low,3
Micro Zone,22.0,89.0,High,Moderate,5
Micro Zone,22.0,89.5,High,Moderate,5
Micro Zone,22.0,90.0,Low,Moderate,3
Micro Zone,22.0,90.5,Moderate,Moderate,4
Micro Zone,22.0,91.0,Moderate,Moderate,4
Micro Zone,22.0,91.5,Moderate,High,5
Micro Zone,22.0,92.0,High,High,6
Micro Zone,22.0,92.5,Low,Low,2
Micro Zone,22.0,93.0,Moderate,High,5
Micro Zone,22.0,93.5,Low,Moderate,3
Micro Zone,22.0,94.0,High,Moderate,5
Micro Zone,22.0,94.5,Low,High,4
Micro Zone,22.0,95.0,Moderate,High,5
Micro Zone,22.0,95.5,High,High,6
Micro Zone,22.0,96.0,High,High,6
Micro Zone,22.0,96.5,Low,Low,2
Micro Zone,22.5,68.0,Low,Moderate,3
Micro Zone,22.5,68.5,Moderate,Moderate,4
Micro Zone,22.5,69.0,High,Low,4
Micro Zone,22.5,69.5,High,High,6
Micro Zone,22.5,70.0,Low,High,4
Micro Zone,22.5,70.5,Moderate,High,5
Micro Zone,22.5,71.0,Moderate,Moderate,4
Micro Zone,22.5,71.5,Moderate,Moderate,4
Micro Zone,22.5,72.0,High,Moderate,5
Micro Zone,22.5,72.5,High,Moderate,5
Micro Zone,22.5,73.0,Low,High,4
Micro Zone,22.5,73.5,Moderate,High,5
Micro Zone,22.5,74.0,High,Low,4
Micro Zone,22.5,74.5,Moderate,High,5
Micro Zone,22.5,75.0,High,Low,4
Micro Zone,22.5,75.5,High,High,6
Micro Zone,22.5,76.0,Low,Moderate,3
Micro Zone,22.5,76.5,Moderate,Moderate,4
Micro Zone,22.5,77.0,Low,Moderate,3
Micro Zone,22.5,77.5,Moderate,High,5
Micro Zone,22.5,78.0,Low,High,4
Micro Zone,22.5,78.5,High,High,6
Micro Zone,22.5,79.0,High,High,6
Micro Zone,22.5,79.5,Moderate,Moderate,4
Micro Zone,22.5,80.0,High,Moderate,5
Micro Zone,22.5,80.5,High,High,6
Micro Zone,22.5,81.0,Low,Low,2
Micro Zone,22.5,81.5,Low,Low,2
Micro Zone,22.5,82.0,High,Low,4
Micro Zone,22.5,82.5,High,High,6
Micro Zone,22.5,83.0,Moderate,Low,3
Micro Zone,22.5,83.5,Low,High,4
Micro Zone,22.5,84.0,Low,Moderate,3
Micro Zone,22.5,84.5,High,Moderate,5
Micro Zone,22.5,85.0,Moderate,Moderate,4
Micro Zone,22.5,85.5,High,High,6
Micro Zone,22.5,86.0,Low,High,4
Micro Zone,22.5,86.5,Moderate,Low,3
Micro Zone,22.5,87.0,Low,Moderate,3
Micro Zone,22.5,87.5,High,Moderate,5
Micro Zone,22.5,88.0,Moderate,High,5
Micro Zone,22.5,88.5,Low,Low,2
Micro Zone,22.5,89.0,Low,High,4
Micro Zone,22.5,89.5,Moderate,High,5
Micro Zone,22.5,90.0,Low,Moderate,3
Micro Zone,22.5,90.5,High,Moderate,5
Micro Zone,22.5,91.0,Moderate,Moderate,4
Micro Zone,22.5,91.5,Low,High,4
Micro Zone,22.5,92.0,Moderate,High,5
Micro Zone,22.5,92.5,Moderate,High,5
Micro Zone,22.5,93.0,High,Low,4
Micro Zone,22.5,93.5,Low,Low,2
Micro Zone,22.5,94.0,Low,Low,2
Micro Zone,22.5,94.5,High,Low,4
Micro Zone,22.5,95.0,Low,Moderate,3
Micro Zone,22.5,95.5,High,High,6
Micro Zone,22.5,96.0,High,High,6
Micro Zone,22.5,96.5,Moderate,Moderate,4
Micro Zone,23.0,68.0,High,Low,4
Micro Zone,23.0,68.5,Low,Moderate,3
Micro Zone,23.0,69.0,Moderate,Moderate,4
Micro Zone,23.0,69.5,Moderate,Moderate,4
Micro Zone,23.0,70.0,Low,Low,2
Micro Zone,23.0,70.5,Moderate,High,5
Micro Zone,23.0,71.0,High,Moderate,5
Micro Zone,23.0,71.5,High,Low,4
Micro Zone,23.0,72.0,High,High,6
Micro Zone,23.0,72.5,Low,High,4
Micro Zone,23.0,73.0,Moderate,Low,3
Micro Zone,23.0,73.5,Low,High,4
Micro Zone,23.0,74.0,High,Moderate,5
Micro Zone,23.0,74.5,High,Low,4
Micro Zone,23.0,75.0,Moderate,Moderate,4
Micro Zone,23.0,75.5,High,High,6
Micro Zone,23.0,76.0,Low,Moderate,3
Micro Zone,23.0,76.5,Moderate,High,5
Micro Zone,23.0,77.0,Moderate,High,5
Micro Zone,23.0,77.5,Moderate,High,5
Micro Zone,23.0,78.0,Moderate,Low,3
Micro Zone,23.0,78.5,High,Low,4
Micro Zone,23.0,79.0,Low,Moderate,3
Micro Zone,23.0,79.5,Moderate,Moderate,4
Micro Zone,23.0,80.0,High,Moderate,5
Micro Zone,23.0,80.5,Moderate,Low,3
